@relation pacman-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R7-44

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
3,3,1,1,0,0,130,1,9179,West,West
2,3,1,1,0,0,129,2,9278,West,West
12,10,1,1,0,0,0,-1,-2,Stop,East
13,10,1,1,0,1,0,-1,-3,East,East
14,10,1,1,0,1,0,-1,-4,East,South
14,9,1,1,1,1,0,-1,-5,South,South
14,8,1,1,1,1,0,-1,-6,South,South
14,7,0,1,1,1,0,-1,-7,South,South
14,6,1,1,1,1,0,-1,-8,South,South
14,5,1,1,1,1,0,-1,-9,South,West
13,5,1,1,1,1,0,-1,-10,West,North
13,6,1,1,0,1,0,-1,189,North,West
12,6,1,1,0,1,0,-1,188,West,West
11,6,1,1,0,1,0,-1,187,West,South
11,5,1,1,1,1,0,-1,186,South,South
11,4,1,1,1,1,0,-1,185,South,West
10,4,0,1,1,1,0,-1,184,West,West
10,4,0,1,1,1,0,-1,183,West,South
10,3,1,1,1,0,0,-1,182,South,West
9,3,1,1,0,0,0,-1,181,West,West
8,3,1,1,1,0,0,-1,180,West,West
7,3,1,1,1,0,0,-1,179,West,West
6,3,1,1,1,0,0,-1,178,West,West
5,3,1,1,1,0,0,-1,177,West,North
5,4,1,1,1,1,0,-1,176,North,North
5,5,1,1,1,1,0,-1,175,North,North
5,6,1,1,0,1,0,-1,374,North,West
4,6,1,1,1,1,0,-1,373,West,North
4,7,1,0,1,1,0,-1,372,North,North
4,8,1,1,1,1,0,-1,371,North,North
4,9,1,1,1,1,0,-1,370,North,North
4,10,1,1,0,1,0,-1,369,North,West
3,10,1,1,1,1,0,-1,368,West,North
3,11,1,0,1,1,0,-1,367,North,North
3,12,1,0,1,1,0,-1,366,North,North
3,13,1,0,1,1,0,-1,365,North,North
3,14,1,1,0,1,0,-1,364,North,East
4,14,1,1,0,0,0,-1,363,East,East
5,14,1,1,0,0,0,-1,362,East,East
6,14,1,1,0,0,0,-1,361,East,East
7,14,1,1,0,0,0,-1,360,East,East
8,14,1,1,0,1,0,-1,359,East,South
8,13,0,1,1,1,0,-1,358,South,South
8,12,1,1,1,0,0,-1,357,South,West
7,12,1,1,0,0,0,-1,356,West,West
6,12,1,1,0,0,0,-1,355,West,West
5,12,0,1,0,0,0,-1,554,West,East
6,12,1,1,0,0,0,-1,553,East,East
7,12,1,1,0,0,0,-1,552,East,East
8,12,1,1,1,0,0,-1,551,East,East
9,12,1,1,1,0,0,-1,550,East,East
10,12,1,1,1,0,0,-1,549,East,East
11,12,1,1,0,0,0,-1,548,East,East
12,12,1,1,0,0,0,-1,547,East,East
9,1,1,1,0,0,68,1,-3,Stop,East
10,1,1,1,0,0,67,1,96,East,East
11,1,1,1,1,0,66,1,195,East,East
12,1,1,1,0,0,65,1,294,East,East
13,1,1,0,1,0,64,1,393,East,North
13,2,0,0,1,1,63,1,492,North,North
13,3,0,0,1,1,62,1,591,North,North
13,4,0,0,1,1,61,1,690,North,North
13,5,0,1,1,1,60,1,789,North,North
13,6,0,0,1,1,59,1,888,North,North
13,7,1,0,0,1,58,1,987,North,West
12,7,1,1,0,0,57,1,1086,West,West
11,7,1,1,0,0,56,1,1185,West,West
10,7,1,1,0,1,55,1,1284,West,West
9,7,1,1,0,1,54,1,1383,West,South
9,6,0,1,1,1,53,1,1482,South,South
9,5,1,1,1,1,53,2,1481,South,West
8,5,1,1,0,0,53,2,1680,West,East
9,5,1,1,1,1,53,2,1679,East,East
10,5,1,1,1,0,53,1,1878,East,East
11,5,1,0,0,0,53,2,2077,East,West
10,5,1,1,1,0,53,1,2076,West,North
10,6,1,0,1,1,52,3,2175,North,North
10,7,1,1,0,1,52,2,2174,North,East
11,7,1,1,0,0,52,3,2173,East,East
12,7,1,1,0,0,52,3,2172,East,East
13,7,1,0,0,1,52,2,2171,East,South
13,6,0,0,1,1,52,2,2170,South,South
13,5,0,1,1,1,52,1,2169,South,East
14,5,1,1,0,0,51,1,2268,East,East
15,5,1,1,1,0,50,1,2367,East,North
15,6,0,0,1,1,49,1,2466,North,North
15,7,0,1,0,1,48,1,2565,North,East
16,7,1,1,0,0,47,2,2664,East,East
12,10,1,1,1,1,1,7,-3,Stop,North
12,11,1,1,1,1,1,8,-4,North,East
13,11,1,1,1,1,1,7,-5,East,East
14,11,1,1,1,1,1,6,-6,East,North
14,12,1,1,1,1,1,7,-7,North,West
13,12,1,1,1,1,1,8,192,West,South
13,11,1,1,1,1,1,7,191,South,West
12,11,1,1,1,1,1,8,190,West,West
11,11,1,1,1,1,1,9,189,West,West
10,11,1,1,1,1,1,10,188,West,West
9,11,1,1,1,1,1,11,187,West,West
8,11,1,1,1,1,1,12,186,West,West
7,11,1,1,1,1,1,13,185,West,West
6,11,1,1,1,1,1,14,184,West,West
5,11,1,1,1,0,1,15,183,West,North
5,12,1,1,1,1,1,16,382,North,South
5,11,1,1,1,0,1,15,381,South,South
5,11,1,1,1,0,1,15,380,South,East
6,11,1,1,1,1,1,14,379,East,South
6,10,0,1,1,1,1,13,378,South,South
6,9,1,1,1,1,1,12,377,South,South
6,8,1,1,1,1,1,13,376,South,South
6,7,1,1,1,1,1,14,375,South,South
6,6,1,1,1,1,1,15,374,South,South
6,5,1,1,1,1,1,16,373,South,West
5,5,1,1,1,1,1,17,372,West,North
5,6,1,1,1,1,1,16,571,North,North
5,7,1,1,1,1,1,15,570,North,East
6,7,1,1,1,1,1,14,569,East,East
7,7,1,1,1,1,1,13,568,East,East
8,7,1,1,1,1,1,12,567,East,East
9,7,1,1,1,1,1,11,566,East,East
10,7,1,1,1,1,1,10,565,East,East
11,7,1,1,1,1,1,9,564,East,East
12,7,1,1,1,1,1,8,563,East,East
13,7,1,1,1,1,1,7,562,East,South
12,10,1,1,1,1,1,7,-2,Stop,East
13,10,1,1,1,1,1,6,-3,East,West
12,10,1,1,1,1,1,7,-4,West,North
12,11,1,1,1,1,1,8,-5,North,East
13,11,1,1,1,1,1,7,-6,East,East
