@relation pacman-weka.filters.unsupervised.attribute.Remove-R21-40-weka.filters.unsupervised.attribute.Remove-R29

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute numghost numeric
@attribute alivePacman numeric
@attribute alive_Ghost1 numeric
@attribute alive_Ghost2 numeric
@attribute alive_Ghost3 numeric
@attribute alive_Ghost4 numeric
@attribute ghost1x numeric
@attribute ghost1y numeric
@attribute ghost2x numeric
@attribute ghost2y numeric
@attribute ghost3x numeric
@attribute ghost3y numeric
@attribute ghost4x numeric
@attribute ghost4y numeric
@attribute ghost1dist numeric
@attribute ghost2dist numeric
@attribute ghost3dist numeric
@attribute ghost4dist numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
14,4,1,1,1,1,4,0,0,0,1,1,1,1,3,1,14,3,20,14,-1,-1,1,16,0,-1,338,West,South
14,3,1,1,1,0,4,0,0,0,1,1,1,1,3,1,15,3,20,15,-1,-1,1,18,0,-1,337,South,East
15,3,1,1,1,0,4,0,0,0,0,1,1,1,3,1,5,1,20,15,-1,-1,-1,17,0,-1,536,East,North
15,4,1,1,0,1,4,0,0,0,0,1,1,1,3,1,5,1,20,15,-1,-1,-1,16,0,-1,535,North,West
14,4,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,20,15,-1,-1,-1,17,0,-1,534,West,North
14,12,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,22,14,-1,-1,-1,10,0,-1,526,North,East
20,12,1,0,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,16,-1,-1,-1,9,0,-1,520,East,North
20,16,0,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,14,-1,-1,-1,7,0,-1,516,North,East
24,16,1,1,0,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,4,0,-1,512,East,South
1,7,0,1,0,1,4,0,1,1,1,1,1,4,11,17,23,17,25,3,3,20,32,28,203,1,1384,West,South
1,3,0,1,1,0,4,0,1,1,1,1,2,3,11,17,23,17,26,3,1,24,36,25,200,1,1680,South,East
8,3,1,1,1,0,4,0,0,1,1,1,1,1,9,17,20,17,27,3,-1,15,26,19,194,1,2473,East,North
8,7,1,1,1,1,4,0,0,1,1,1,1,1,10,17,19,17,24,3,-1,12,21,20,191,1,2769,North,East
29,7,1,0,0,1,4,0,0,1,1,1,1,1,6,17,23,17,28,1,-1,33,16,-1,177,1,4148,East,South
29,1,1,0,1,0,4,0,0,1,1,1,1,1,7,17,22,17,28,1,-1,38,23,-1,171,1,4742,South,West
28,1,1,1,0,0,4,0,0,1,1,0,1,1,6,17,21,17,7,1,-1,38,23,-1,170,1,5041,West,East
29,1,1,0,1,0,4,0,0,1,1,0,1,1,6,17,21,17,7,1,-1,39,24,-1,170,2,5040,East,North
29,7,1,0,0,1,4,0,0,1,1,0,1,1,4,17,22,17,7,1,-1,35,17,-1,170,4,5034,North,West
22,7,1,1,1,0,4,0,0,1,1,0,1,1,4,17,25,17,7,1,-1,28,13,-1,170,1,5027,West,North
22,9,1,1,0,1,4,0,0,1,1,0,1,1,4,17,25,17,7,1,-1,26,11,-1,168,1,5225,North,East
24,9,1,0,1,0,4,0,0,1,1,0,1,1,5,17,25,17,7,1,-1,27,9,-1,166,1,5423,East,North
24,15,0,1,0,1,4,0,0,1,1,0,1,1,4,17,25,17,7,1,-1,22,3,-1,160,1,6017,North,East
29,15,1,0,1,1,4,0,0,1,1,0,1,1,3,17,24,17,7,1,-1,28,7,-1,155,1,6512,East,North
29,17,1,0,0,1,4,0,0,1,1,0,1,1,3,17,23,17,7,1,-1,26,6,-1,154,1,6610,North,West
13,17,0,1,0,1,4,0,0,1,0,0,1,1,7,17,5,1,7,1,-1,6,-1,-1,139,1,8294,West,South
13,11,1,1,1,0,4,0,0,1,0,0,1,1,7,17,5,1,7,1,-1,12,-1,-1,133,1,8888,South,West
11,11,1,1,1,0,4,0,0,1,0,0,1,1,8,17,5,1,7,1,-1,9,-1,-1,131,1,9086,West,North
13,10,1,1,0,1,4,0,1,1,1,1,3,6,5,12,15,7,13,12,14,10,5,2,0,-1,-4,East,South
13,8,1,1,1,0,4,0,1,1,1,1,2,5,6,12,15,9,12,12,14,11,3,5,0,-1,-6,South,East
14,8,1,1,1,1,4,0,1,1,1,1,2,6,6,12,15,10,13,12,14,12,3,5,0,-1,-7,East,North
14,10,1,1,0,1,4,0,1,1,1,1,1,7,5,12,15,10,13,12,16,11,1,3,0,-1,-9,North,East
16,10,1,1,1,1,4,0,1,1,1,1,1,7,5,12,15,9,13,12,18,13,2,5,0,-1,-11,East,South
